epoch,loss,mIoU
0,1.3865,0.3328
1,1.2350,0.3158
2,1.1449,0.3013
3,1.0489,0.3287
4,0.9568,0.2212
5,0.8892,0.2792
6,0.8531,0.2732
7,0.8427,0.2076
8,0.8684,0.3053
9,0.8913,0.3894
10,0.9189,0.3370
11,0.9590,0.2363
12,0.9995,0.3693
13,1.0269,0.3669
14,1.0260,0.3520
15,1.0257,0.2723
16,1.0525,0.3787
17,1.0516,0.3889
18,1.0547,0.3622
19,1.0821,0.3517
20,1.0800,0.3615
21,1.0776,0.4004
22,1.0999,0.3933
23,1.0873,0.4093
24,1.0802,0.3861
25,1.0665,0.4062
26,1.0827,0.3191
27,1.1071,0.4091
28,1.1131,0.4359
29,1.1111,0.4141
30,1.0968,0.3954
31,1.1097,0.3859
32,1.0991,0.4234
33,1.0998,0.4380
34,1.1025,0.3824
35,1.0913,0.4704
36,1.0994,0.4375
37,1.0851,0.4599
38,1.0933,0.4065
39,1.0956,0.4418
40,1.0915,0.4375
41,1.0869,0.4236
42,1.0764,0.4314
43,1.0962,0.4728
44,1.0829,0.4203
45,1.0650,0.4650
46,1.0954,0.4151
47,1.0876,0.4442
48,1.0695,0.4526
49,1.0552,0.4184
50,1.0693,0.4249
51,1.0741,0.4369
52,1.0634,0.4328
53,1.0456,0.4468
54,1.0669,0.4643
55,1.0624,0.4445
56,1.0498,0.4627
57,1.0495,0.4220
58,1.0512,0.4651
59,1.0613,0.4901
60,1.0566,0.4953
61,1.0261,0.4460
62,1.0416,0.4867
63,1.0451,0.4764
64,1.0407,0.4669
65,1.0376,0.4588
66,1.0373,0.4901
67,1.0364,0.4778
68,1.0489,0.4831
69,1.0356,0.4586
70,1.0327,0.4881
71,1.0125,0.4801
72,1.0314,0.4543
73,1.0292,0.4840
74,1.0391,0.4666
75,1.0250,0.4706
76,1.0285,0.4712
77,1.0041,0.4617
78,1.0185,0.4602
79,1.0102,0.4909
80,1.0043,0.4736
81,1.0021,0.4464
82,1.0188,0.4937
83,1.0009,0.4898
84,1.0073,0.4790
85,1.0017,0.5008
86,1.0035,0.4851
87,1.0025,0.4766
88,1.0044,0.4578
89,1.0053,0.4713
90,0.9920,0.4952
91,0.9911,0.4960
92,1.0078,0.4837
93,1.0020,0.4716
94,1.0065,0.4687
95,0.9807,0.4867
96,0.9869,0.4841
97,1.0017,0.4811
98,0.9819,0.4899
99,0.9998,0.4820
100,0.9855,0.4841
101,0.9838,0.4864
102,0.9761,0.5064
103,0.9796,0.4853
104,0.9801,0.5058
105,0.9917,0.5022
106,0.9765,0.5102
107,0.9825,0.5047
108,0.9733,0.4992
109,0.9776,0.4947
110,0.9788,0.4791
111,0.9615,0.4959
112,0.9634,0.5025
113,0.9784,0.4811
114,0.9646,0.5109
115,0.9703,0.5030
116,0.9658,0.5031
117,0.9636,0.5062
118,0.9609,0.4952
119,0.9660,0.4650
120,0.9633,0.5024
121,0.9630,0.5017
122,0.9564,0.4990
123,0.9653,0.4734
124,0.9540,0.5202
125,0.9529,0.5170
126,0.9672,0.5042
127,0.9564,0.5110
128,0.9535,0.4977
129,0.9420,0.4944
130,0.9581,0.5123
131,0.9362,0.5068
132,0.9508,0.5221
133,0.9502,0.5038
134,0.9759,0.5056
135,0.9339,0.4976
136,0.9426,0.4988
137,0.9418,0.4912
138,0.9437,0.5168
139,0.9491,0.5086
140,0.9418,0.5268
141,0.9557,0.5162
142,0.9429,0.5038
143,0.9569,0.5105
144,0.9319,0.5143
145,0.9449,0.5170
146,0.9388,0.5182
147,0.9414,0.5133
148,0.9382,0.5192
149,0.9429,0.5178
150,0.9503,0.5150
151,0.9306,0.5198
152,0.9606,0.5143
153,0.9207,0.5171
154,0.9390,0.5208
155,0.9338,0.5213
156,0.9463,0.5153
157,0.9563,0.5150
158,0.9412,0.5326
159,0.9352,0.5076
160,0.9429,0.5180
161,0.9328,0.5139
162,0.9343,0.5168
163,0.9270,0.5265
164,0.9420,0.5159
165,0.9169,0.5229
166,0.9192,0.5192
167,0.9267,0.5201
168,0.9372,0.5237
169,0.9405,0.5149
170,0.9316,0.5157
171,0.9345,0.5155
172,0.9093,0.5187
173,0.9350,0.5119
174,0.9254,0.5131
175,0.9079,0.5203
176,0.9183,0.5185
177,0.9306,0.5166
178,0.9298,0.5129
179,0.9384,0.5107
180,0.9135,0.5226
181,0.9295,0.5259
182,0.9317,0.5190
183,0.9276,0.5190
184,0.9206,0.5237
185,0.9347,0.5141
186,0.9259,0.5235
187,0.9244,0.5206
188,0.9257,0.5130
189,0.9267,0.5199
190,0.9314,0.5175
191,0.9170,0.5174
192,0.9342,0.5205
193,0.9290,0.5204
194,0.9335,0.5191
195,0.9231,0.5191
196,0.9280,0.5178
197,0.9168,0.5169
198,0.9309,0.5189
199,0.9194,0.5225
