epoch,loss,mIoU
0,2.6299,0.1260
1,2.2652,0.1269
2,2.0699,0.1350
3,1.9405,0.1904
4,1.8286,0.1881
5,1.7597,0.2209
6,1.6948,0.2097
7,1.6324,0.2234
8,1.5767,0.2222
9,1.5323,0.2205
10,1.4905,0.2363
11,1.4508,0.2420
12,1.4128,0.2557
13,1.3760,0.2713
14,1.3385,0.1527
15,1.3211,0.2836
16,1.2818,0.2452
17,1.2460,0.2987
18,1.2245,0.2548
19,1.1947,0.2827
20,1.1588,0.2851
21,1.1489,0.3011
22,1.1425,0.3067
23,1.1104,0.3264
24,1.1039,0.3138
25,1.0853,0.2947
26,1.0725,0.2936
27,1.0461,0.2925
28,1.0447,0.3307
29,1.0343,0.2920
30,1.0297,0.3388
31,1.0383,0.3310
32,1.0254,0.3372
33,1.0293,0.3207
34,1.0082,0.3338
35,1.0286,0.3393
36,1.0304,0.3620
37,1.0415,0.3590
38,1.0375,0.3645
39,1.0314,0.3626
40,1.0419,0.3426
41,1.0418,0.3621
42,1.0497,0.3865
43,1.0511,0.3708
44,1.0600,0.3397
45,1.0539,0.3913
46,1.0647,0.3822
47,1.0522,0.3761
48,1.0591,0.3935
49,1.0783,0.4075
50,1.0817,0.3650
51,1.0743,0.3948
52,1.0792,0.3520
53,1.0816,0.3399
54,1.0775,0.3790
55,1.0782,0.3824
56,1.0898,0.3387
57,1.0636,0.3559
58,1.1057,0.4283
59,1.0905,0.4069
60,1.0907,0.4121
61,1.0994,0.4169
62,1.1134,0.3939
63,1.0963,0.4108
64,1.1007,0.4281
65,1.0973,0.4080
66,1.1183,0.4056
67,1.1011,0.4291
68,1.1100,0.4144
69,1.0996,0.4221
70,1.1007,0.4066
71,1.1071,0.4301
72,1.1026,0.4318
73,1.0898,0.4310
74,1.1135,0.4172
75,1.0958,0.4345
76,1.0934,0.4280
77,1.0849,0.4566
78,1.0936,0.4233
79,1.1115,0.4441
80,1.0967,0.4294
81,1.0985,0.4451
82,1.1145,0.4474
83,1.1105,0.4439
84,1.0982,0.4248
85,1.0978,0.4476
86,1.1197,0.4256
87,1.1038,0.4420
88,1.1062,0.4344
89,1.1079,0.4736
90,1.0981,0.4415
91,1.0924,0.4566
92,1.1152,0.4620
93,1.1128,0.4589
94,1.1125,0.4555
95,1.1039,0.4741
96,1.1004,0.4821
97,1.0924,0.4516
98,1.1049,0.4620
99,1.1054,0.4781
100,1.0967,0.4567
101,1.0996,0.4449
102,1.1028,0.4587
103,1.1124,0.4389
104,1.0927,0.4376
105,1.0950,0.4796
106,1.1023,0.4812
107,1.0869,0.4739
108,1.1103,0.4850
109,1.0880,0.5037
110,1.0822,0.4714
111,1.1086,0.4676
112,1.0787,0.4609
113,1.1049,0.4790
114,1.0902,0.4728
115,1.0940,0.4605
116,1.0854,0.4675
117,1.0980,0.4871
118,1.0918,0.4658
119,1.0829,0.4531
120,1.0895,0.4844
121,1.0895,0.4793
122,1.0723,0.4878
123,1.0879,0.5065
124,1.0849,0.4950
125,1.0861,0.4905
126,1.1033,0.4808
127,1.0960,0.4901
128,1.1000,0.5065
129,1.0715,0.4926
130,1.0762,0.4880
131,1.0745,0.4821
132,1.0770,0.4928
133,1.0831,0.4982
134,1.0811,0.4868
135,1.0904,0.5043
136,1.0966,0.4871
137,1.0876,0.4992
138,1.0760,0.4936
139,1.0759,0.4966
140,1.0865,0.4965
141,1.0873,0.5138
142,1.0880,0.5040
143,1.0832,0.5096
144,1.0816,0.5059
145,1.0706,0.4957
146,1.0786,0.5017
147,1.0755,0.4886
148,1.0808,0.4968
149,1.0821,0.5130
150,1.0742,0.4978
151,1.0908,0.4905
152,1.0681,0.5014
153,1.0767,0.5019
154,1.0752,0.5098
155,1.0753,0.5183
156,1.0731,0.4969
157,1.0790,0.4896
158,1.0710,0.4912
159,1.0732,0.4914
160,1.0665,0.5132
161,1.0732,0.5307
162,1.0617,0.5190
163,1.0837,0.5157
164,1.0718,0.5257
165,1.0525,0.5100
166,1.0462,0.5251
167,1.0736,0.5164
168,1.0772,0.5160
169,1.0669,0.5138
170,1.0726,0.5094
171,1.0673,0.5194
172,1.0630,0.5185
173,1.0654,0.5164
174,1.0663,0.5046
175,1.0780,0.5007
176,1.0553,0.5194
177,1.0702,0.5092
178,1.0598,0.5063
179,1.0697,0.5170
180,1.0687,0.5243
181,1.0689,0.5206
182,1.0574,0.5064
183,1.0655,0.5191
184,1.0775,0.5058
185,1.0611,0.5061
186,1.0694,0.5225
187,1.0676,0.5199
188,1.0679,0.5169
189,1.0532,0.5238
190,1.0684,0.5173
191,1.0815,0.5231
192,1.0697,0.5125
193,1.0721,0.5188
194,1.0685,0.5122
195,1.0621,0.5195
196,1.0533,0.5186
197,1.0799,0.5167
198,1.0698,0.5167
199,1.0517,0.5183
