epoch,train_loss,train_mIoU,val_loss,val_mIoU
0,2.5341,0.0781,2.2414,0.0920
1,1.9608,0.1113,1.8072,0.1155
2,1.6550,0.1185,1.7072,0.0897
3,1.5940,0.1293,1.2904,0.1507
4,1.5474,0.1383,1.3435,0.1408
5,1.5003,0.1485,1.3133,0.1241
6,1.4499,0.1592,1.2663,0.1643
7,1.4226,0.1721,1.3930,0.1640
8,1.4011,0.1805,1.2553,0.1610
9,1.3980,0.1885,1.2486,0.1642
10,1.3814,0.1946,1.2609,0.1722
11,1.3598,0.2009,1.4918,0.1630
12,1.3616,0.2038,1.2810,0.2052
13,1.3392,0.2108,1.3781,0.2100
14,1.3154,0.2178,1.4124,0.1922
15,1.3142,0.2199,1.1243,0.2178
16,1.3228,0.2254,1.2117,0.2258
17,1.3152,0.2316,1.2076,0.2064
18,1.3123,0.2263,1.2577,0.2119
19,1.2968,0.2400,1.2426,0.1979
20,1.3090,0.2382,1.7572,0.1321
21,1.2847,0.2413,1.1244,0.2233
22,1.3069,0.2413,1.2688,0.2200
23,1.2953,0.2495,1.3519,0.2162
24,1.2807,0.2544,1.2940,0.2233
25,1.2786,0.2556,1.1383,0.2363
26,1.2857,0.2548,1.2436,0.2300
27,1.2706,0.2627,1.2890,0.2029
28,1.2699,0.2627,1.3427,0.2181
29,1.2907,0.2600,1.2519,0.2176
30,1.2691,0.2646,1.2938,0.2300
31,1.2636,0.2644,1.2701,0.2324
32,1.2525,0.2767,1.1521,0.2585
33,1.2540,0.2726,1.1452,0.2583
34,1.2601,0.2763,1.1931,0.2373
35,1.2603,0.2798,1.2227,0.2506
36,1.2702,0.2775,1.2031,0.2528
37,1.2452,0.2762,1.2666,0.2099
38,1.2338,0.2795,1.1776,0.2517
39,1.2854,0.2800,1.1146,0.2566
40,1.2437,0.2810,1.1001,0.2466
41,1.2596,0.2885,1.1091,0.2599
42,1.2403,0.2888,1.2218,0.2690
43,1.2546,0.2889,1.2625,0.2171
44,1.2385,0.2934,1.2684,0.2370
45,1.2373,0.3058,1.2291,0.2663
46,1.2481,0.3014,1.2274,0.2706
47,1.2291,0.3043,1.0443,0.3055
48,1.2475,0.2956,1.1409,0.2762
49,1.2408,0.3049,1.2146,0.2607
50,1.2299,0.3087,1.1790,0.2847
51,1.2359,0.3145,1.0879,0.2536
52,1.2341,0.3046,1.1407,0.2723
53,1.2269,0.3147,1.2608,0.2615
54,1.2389,0.3077,1.1219,0.2707
55,1.2155,0.3122,1.0341,0.2855
56,1.2254,0.3261,1.0670,0.2905
57,1.2189,0.3222,1.2653,0.2542
58,1.2345,0.3265,1.2282,0.2834
59,1.2076,0.3207,1.1431,0.3010
60,1.2146,0.3209,1.1520,0.2633
61,1.2094,0.3314,1.1236,0.3052
62,1.2259,0.3230,1.1865,0.2779
63,1.2152,0.3331,1.0902,0.3031
64,1.1961,0.3318,1.1159,0.3121
65,1.2323,0.3299,1.1644,0.2433
66,1.1896,0.3320,1.0895,0.2966
67,1.2323,0.3276,1.0462,0.2889
68,1.2316,0.3295,1.2427,0.2314
69,1.2068,0.3361,1.1261,0.2643
70,1.2204,0.3375,1.0559,0.3136
71,1.2171,0.3406,0.9842,0.3335
72,1.2066,0.3333,1.0600,0.3091
73,1.2045,0.3546,1.0187,0.3305
