epoch,loss,mIoU
0,1.8370,0.3507
1,1.5944,0.4284
2,1.5144,0.4252
3,1.4598,0.4431
4,1.4300,0.4490
5,1.4046,0.4528
6,1.3888,0.4429
7,1.3694,0.4893
8,1.3310,0.4563
9,1.3327,0.4805
10,1.3059,0.4957
11,1.3031,0.5014
12,1.2838,0.4960
13,1.2615,0.4929
14,1.2586,0.4966
15,1.2389,0.5106
16,1.2410,0.4839
17,1.2246,0.5155
18,1.2093,0.5297
19,1.1996,0.5226
20,1.1908,0.5276
21,1.1854,0.4981
22,1.1764,0.5222
23,1.1506,0.5252
24,1.1535,0.5319
25,1.1580,0.5246
26,1.1486,0.5082
27,1.1368,0.5414
28,1.1418,0.4701
29,1.1340,0.5147
30,1.1121,0.5026
31,1.1141,0.5432
32,1.1003,0.5476
33,1.0942,0.5285
34,1.0851,0.5240
35,1.1054,0.5317
36,1.0829,0.5550
37,1.0921,0.5270
38,1.0811,0.5164
39,1.0829,0.4516
40,1.0799,0.5568
41,1.0802,0.5440
42,1.0630,0.5590
43,1.0405,0.5559
44,1.0353,0.5533
45,1.0600,0.5560
46,1.0314,0.5583
47,1.0488,0.5661
48,1.0418,0.5423
49,1.0630,0.5530
50,1.0294,0.5413
51,1.0321,0.5661
52,1.0291,0.5715
53,1.0460,0.5599
54,1.0338,0.5389
55,1.0171,0.5544
56,1.0119,0.5659
57,1.0402,0.5619
58,1.0385,0.5737
59,1.0070,0.5781
60,1.0132,0.5805
61,1.0209,0.5784
62,1.0216,0.5781
63,1.0123,0.5772
64,1.0293,0.5649
65,1.0171,0.5872
66,1.0259,0.5876
67,1.0350,0.5835
68,0.9998,0.5853
69,1.0494,0.5856
70,1.0189,0.5818
71,1.0323,0.5906
72,1.0149,0.5901
73,0.9962,0.5834
74,1.0099,0.5944
75,1.0156,0.5877
76,0.9976,0.5938
77,1.0153,0.5836
78,1.0340,0.5787
79,1.0050,0.5983
80,0.9932,0.5963
81,1.0044,0.5987
82,1.0289,0.5871
83,0.9835,0.6016
84,1.0012,0.5960
85,0.9861,0.5964
86,1.0006,0.6035
87,1.0145,0.5950
88,0.9956,0.6081
89,0.9874,0.6087
90,1.0041,0.6046
91,1.0057,0.5989
92,0.9895,0.5934
93,0.9948,0.6048
94,1.0073,0.5767
95,0.9952,0.6018
96,0.9727,0.5999
97,1.0114,0.6099
98,0.9903,0.6031
99,0.9849,0.6086
100,0.9895,0.6098
101,0.9968,0.6104
102,0.9941,0.6078
103,0.9970,0.6066
104,0.9774,0.6121
105,0.9908,0.6108
106,0.9870,0.6132
107,0.9913,0.6138
108,0.9990,0.6151
109,0.9728,0.6157
110,1.0047,0.6124
111,0.9980,0.6171
112,0.9882,0.6190
113,0.9889,0.6193
114,0.9884,0.6189
115,0.9756,0.6226
116,0.9783,0.6220
117,0.9951,0.6241
118,0.9724,0.6228
119,0.9847,0.6268
120,0.9711,0.6241
121,0.9804,0.6254
122,0.9685,0.6223
123,0.9798,0.6288
124,0.9667,0.6269
125,0.9520,0.6308
126,0.9790,0.6275
127,0.9829,0.6249
128,0.9672,0.6282
129,0.9563,0.6308
130,0.9763,0.6310
131,0.9831,0.6217
132,0.9781,0.6317
133,0.9665,0.6291
134,0.9816,0.6310
135,0.9524,0.6292
136,0.9650,0.6265
137,0.9682,0.6320
138,0.9554,0.6342
139,0.9620,0.6362
140,0.9601,0.6343
141,0.9571,0.6324
142,0.9531,0.6351
143,0.9569,0.6323
144,0.9523,0.6347
145,0.9557,0.6379
146,0.9579,0.6350
147,0.9511,0.6345
148,0.9692,0.6377
149,0.9630,0.6381
150,0.9514,0.6377
151,0.9560,0.6376
152,0.9443,0.6368
153,0.9432,0.6374
154,0.9422,0.6382
155,0.9552,0.6353
156,0.9507,0.6409
157,0.9500,0.6388
158,0.9473,0.6414
159,0.9684,0.6397
160,0.9598,0.6380
161,0.9587,0.6427
162,0.9586,0.6414
163,0.9403,0.6405
164,0.9563,0.6399
165,0.9418,0.6402
166,0.9341,0.6412
167,0.9539,0.6387
168,0.9568,0.6420
169,0.9377,0.6406
170,0.9518,0.6429
171,0.9494,0.6418
172,0.9409,0.6425
173,0.9535,0.6431
174,0.9410,0.6432
175,0.9353,0.6428
176,0.9440,0.6428
177,0.9554,0.6431
178,0.9554,0.6433
179,0.9426,0.6422
180,0.9365,0.6437
181,0.9427,0.6437
182,0.9483,0.6420
183,0.9467,0.6420
184,0.9438,0.6436
185,0.9475,0.6441
186,0.9370,0.6426
187,0.9404,0.6440
188,0.9478,0.6451
189,0.9289,0.6456
190,0.9441,0.6453
191,0.9514,0.6444
192,0.9373,0.6446
193,0.9448,0.6451
194,0.9379,0.6443
195,0.9642,0.6443
196,0.9431,0.6446
197,0.9457,0.6444
198,0.9449,0.6445
199,0.9259,0.6444
