epoch,loss,mIoU
0,2.2801,0.0879
1,2.0098,0.2079
2,1.9422,0.2393
3,1.8689,0.2749
4,1.8683,0.3239
5,1.8058,0.3134
6,1.8326,0.2363
7,1.7885,0.3291
8,1.7536,0.3445
9,1.8032,0.2603
10,1.7808,0.3085
11,1.7311,0.3328
12,1.7181,0.3602
13,1.7418,0.3387
14,1.7747,0.2187
15,1.7461,0.3120
16,1.7231,0.2896
17,1.6691,0.3731
18,1.6746,0.3125
19,1.6452,0.3320
20,1.6525,0.3599
21,1.6022,0.2753
22,1.6481,0.2497
23,1.6313,0.3454
24,1.6017,0.3671
25,1.6449,0.3817
26,1.5793,0.3487
27,1.5878,0.3138
28,1.5800,0.3949
29,1.5476,0.4187
30,1.6548,0.3866
31,1.5896,0.2495
32,1.5863,0.4257
33,1.5701,0.3987
34,1.5978,0.3563
35,1.5497,0.4031
36,1.5356,0.4186
37,1.5518,0.3412
38,1.5677,0.3995
39,1.5321,0.4171
40,1.4715,0.4282
41,1.5276,0.3932
42,1.4549,0.4231
43,1.5707,0.4242
44,1.4829,0.3564
45,1.4864,0.4378
46,1.4870,0.4105
47,1.5020,0.4212
48,1.5378,0.4248
49,1.5736,0.4283
50,1.5343,0.4147
51,1.4401,0.4086
52,1.5218,0.4111
53,1.4216,0.3956
54,1.4779,0.4379
55,1.4169,0.4437
56,1.5598,0.4518
57,1.4252,0.4465
58,1.4436,0.4451
59,1.4538,0.4249
60,1.4352,0.4137
61,1.4770,0.4437
62,1.3970,0.4410
63,1.4683,0.3849
64,1.4568,0.4443
65,1.4231,0.4011
66,1.4472,0.4313
67,1.4324,0.4246
68,1.4554,0.4106
69,1.4659,0.4536
70,1.4485,0.3972
71,1.4574,0.4481
72,1.4419,0.4335
73,1.3829,0.4679
74,1.3698,0.4430
75,1.4092,0.4261
76,1.3549,0.4396
77,1.3495,0.4492
78,1.3608,0.4365
79,1.3561,0.4559
80,1.3319,0.4662
81,1.3962,0.4680
82,1.3947,0.4334
83,1.3398,0.4555
84,1.4140,0.4431
85,1.4025,0.4567
86,1.3786,0.4637
87,1.3491,0.4541
88,1.3032,0.4217
89,1.3234,0.4572
90,1.3337,0.4509
91,1.3493,0.4797
92,1.3195,0.4793
93,1.3618,0.4614
94,1.3465,0.4402
95,1.3823,0.4712
96,1.2792,0.4769
97,1.3530,0.4399
98,1.3443,0.4741
99,1.3331,0.4515
100,1.3553,0.4655
101,1.3235,0.4690
102,1.3626,0.4764
103,1.2988,0.4419
104,1.3794,0.4778
105,1.3315,0.4687
106,1.3703,0.4601
107,1.3488,0.4651
108,1.2620,0.4741
109,1.3559,0.4708
110,1.2714,0.4672
111,1.2872,0.4726
112,1.2929,0.4786
113,1.3081,0.4574
114,1.3212,0.4738
115,1.2392,0.4768
116,1.3260,0.4619
117,1.2851,0.4688
118,1.2996,0.4704
119,1.3097,0.4709
120,1.2953,0.4761
121,1.3144,0.4714
122,1.3193,0.4581
123,1.3414,0.4798
124,1.2654,0.4757
125,1.3094,0.4724
126,1.3325,0.4787
127,1.3292,0.4703
128,1.2448,0.4750
129,1.2462,0.4784
130,1.3022,0.4822
131,1.2882,0.4881
132,1.1947,0.4755
133,1.2679,0.4779
134,1.3107,0.4735
135,1.3130,0.4685
136,1.2773,0.4768
137,1.2873,0.4730
138,1.2442,0.4826
139,1.3016,0.4774
140,1.2954,0.4772
141,1.3194,0.4800
142,1.3100,0.4797
143,1.2732,0.4782
144,1.2928,0.4784
145,1.2759,0.4729
146,1.2645,0.4736
147,1.2329,0.4751
148,1.2415,0.4752
149,1.2590,0.4756
